iter	Passed	Remaining
0	1	154
1	2	146
2	4	139
3	5	129
4	6	127
5	8	126
6	9	125
7	10	123
8	12	121
9	13	120
10	14	119
11	16	117
12	17	115
13	18	114
14	19	113
15	21	111
16	22	110
17	23	108
18	25	107
19	26	106
20	27	105
21	29	103
22	30	102
23	31	101
24	33	99
25	34	98
26	35	97
27	37	95
28	38	94
29	39	93
30	41	91
31	42	90
32	85	173
33	88	172
34	90	168
35	92	164
36	94	160
37	96	157
38	98	153
39	99	149
40	101	146
41	102	141
42	104	137
43	105	134
44	107	131
45	109	128
46	111	125
47	113	122
48	115	120
49	116	116
50	118	114
51	120	111
52	121	108
53	123	105
54	124	101
55	125	98
56	127	95
57	137	99
58	139	96
59	142	94
60	144	92
61	147	90
62	149	87
63	151	85
64	153	82
65	154	79
66	156	76
67	157	74
68	159	71
69	161	69
70	162	66
71	164	63
72	165	61
73	167	58
74	169	56
75	170	53
76	171	51
77	173	48
78	174	46
79	175	43
80	177	41
81	178	39
82	179	36
83	181	34
84	182	32
85	183	29
86	185	27
87	186	25
88	187	23
89	189	21
90	190	18
91	191	16
92	192	14
93	194	12
94	195	10
95	196	8
96	197	6
97	199	4
98	200	2
99	202	0
