iter	Passed	Remaining
0	4	4144
1	6	3064
2	8	2722
3	10	2550
4	12	2452
5	14	2379
6	16	2331
7	19	2471
8	22	2440
9	24	2403
10	27	2468
11	29	2433
12	69	5306
13	74	5256
14	78	5143
15	85	5246
16	87	5085
17	90	4928
18	92	4769
19	94	4625
20	99	4620
21	101	4513
22	104	4420
23	106	4326
24	108	4232
25	110	4140
26	252	9095
27	254	8840
28	256	8596
29	258	8361
30	273	8535
31	275	8330
32	279	8197
33	282	8015
34	284	7842
35	286	7680
36	289	7525
37	295	7481
38	297	7340
39	300	7200
40	302	7070
41	306	6997
42	327	7295
43	330	7186
44	333	7080
45	338	7016
46	343	6967
47	346	6875
48	350	6799
49	354	6739
50	357	6647
51	433	7897
52	435	7782
53	437	7670
54	440	7572
55	443	7468
56	445	7367
57	449	7302
58	452	7209
59	485	7607
60	487	7511
61	490	7413
62	493	7333
63	601	8795
64	605	8704
65	609	8631
66	612	8528
67	614	8426
68	617	8333
69	620	8240
70	624	8175
71	627	8082
72	629	7992
73	631	7905
74	633	7818
75	672	8174
76	674	8088
77	677	8003
78	680	7931
79	682	7854
80	686	7794
81	689	7713
82	689	7622
83	691	7545
84	695	7483
85	697	7410
86	699	7338
87	701	7272
88	703	7204
89	708	7163
90	710	7098
91	714	7051
92	716	6989
93	718	6928
94	720	6866
95	722	6807
96	725	6750
97	727	6693
98	772	7028
99	860	7745
100	916	8157
101	918	8088
102	921	8022
103	923	7953
104	925	7885
105	928	7835
106	930	7769
107	934	7717
108	936	7654
109	938	7592
110	940	7530
111	943	7484
112	945	7424
113	947	7366
114	1051	8089
115	1053	8031
116	1056	7974
117	1060	7928
118	1062	7868
119	1064	7809
120	1067	7757
121	1069	7696
122	1079	7696
123	1082	7650
124	1085	7596
125	1089	7555
126	1091	7499
127	1096	7469
128	1098	7419
129	1101	7369
130	1168	7752
131	1173	7718
132	1175	7664
133	1178	7613
134	1180	7563
135	1182	7514
136	1185	7467
137	1187	7419
138	1190	7371
139	1192	7324
140	1194	7278
141	1198	7240
142	1200	7193
143	1202	7147
144	1287	7591
145	1289	7542
146	1291	7493
147	1293	7446
148	1297	7411
149	1299	7366
150	1302	7321
151	1304	7277
152	1306	7233
153	1308	7190
154	1313	7160
155	1315	7118
156	1318	7077
157	1320	7036
158	1322	6995
159	1390	7301
160	1394	7264
161	1396	7223
162	1398	7181
163	1435	7315
164	1437	7274
165	1444	7255
166	1446	7215
167	1449	7177
168	1451	7136
169	1453	7097
170	1458	7070
171	1462	7038
172	1469	7024
173	1472	6989
174	1474	6952
175	1476	6914
176	1488	6920
177	1490	6884
178	1493	6849
179	1495	6814
180	1502	6797
181	1505	6767
182	1508	6733
183	1510	6698
184	1581	6967
185	1583	6931
186	1586	6896
187	1588	6861
188	1590	6826
189	1593	6794
190	1608	6812
191	1610	6779
192	1613	6745
193	1616	6714
194	1618	6682
195	1621	6650
196	1625	6626
197	1744	7064
198	1746	7030
199	1749	6996
200	1751	6962
201	1753	6928
202	1759	6906
203	1761	6872
204	1765	6846
205	1767	6813
206	1770	6781
207	1774	6756
208	1776	6724
209	1779	6692
210	1781	6661
211	1783	6630
212	1788	6609
213	1791	6578
214	1793	6547
215	1795	6517
216	1797	6486
217	1800	6457
218	1804	6435
219	1806	6406
220	1809	6376
221	1811	6348
222	1813	6319
223	1816	6291
224	1864	6422
225	1866	6393
226	1870	6369
227	1872	6339
228	1874	6310
229	1876	6282
230	1878	6253
231	1881	6227
232	1884	6204
233	1886	6176
234	1888	6148
235	1929	6247
236	1933	6224
237	1935	6196
238	1937	6169
239	1939	6141
240	1941	6114
241	1943	6088
242	1945	6061
243	1950	6044
244	1953	6018
245	1958	6001
246	1964	5990
247	1987	6025
248	1989	5999
249	2086	6260
250	2089	6234
251	2093	6214
252	2118	6255
253	2120	6228
254	2125	6209
255	2127	6183
256	2130	6158
257	2135	6141
258	2144	6136
259	2147	6111
260	2150	6087
261	2152	6062
262	2194	6149
263	2197	6125
264	2208	6124
265	2210	6099
266	2212	6074
267	2214	6048
268	2216	6023
269	2221	6005
270	2232	6006
271	2258	6045
272	2261	6022
273	2297	6088
274	2419	6379
275	2422	6353
276	2424	6328
277	2426	6302
278	2428	6275
279	2430	6250
280	2434	6229
281	2437	6205
282	2439	6180
283	2441	6156
284	2444	6132
285	2446	6108
286	2452	6092
287	2454	6069
288	2540	6250
289	2542	6225
290	2545	6201
